"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7"
"105518.json","42","16","26","7.0","3","72","60","9","0.0033333333333333335","0.025833333333333333","0.09683333333333333","0.23216666666666666","0.38466666666666666"
"105521.json","40","14","26","6.0","3","69","58","8","0.0028333333333333335","0.033666666666666664","0.1155","0.25633333333333336","0.42966666666666664"
"105548.json","37","12","25","4.0","4","63","55","8","0.004","0.0355","0.12516666666666668","0.2801666666666667","0.4465"
"105565.json","44","17","27","7.0","3","76","62","10","0.0011666666666666668","0.026333333333333334","0.09883333333333333","0.22033333333333333","0.37166666666666665"
"105684.json","41","14","27","5.0","3","72","59","9","0.001","0.02","0.09383333333333334","0.2255","0.398"
"105689.json","40","15","25","5.0","4","68","58","10","0.0045","0.034666666666666665","0.11783333333333333","0.251","0.4181666666666667"
"105737.json","37","12","25","4.0","4","63","55","8","0.003833333333333333","0.037","0.12966666666666668","0.27216666666666667","0.44666666666666666"
"105784.json","40","15","25","6.0","3","70","58","9","0.004833333333333334","0.03883333333333333","0.125","0.2693333333333333","0.43166666666666664"
"105788.json","44","17","27","7.0","3","76","62","10","0.0015","0.019666666666666666","0.08833333333333333","0.2125","0.37616666666666665"
"105796.json","36","12","24","4.0","4","61","54","8","0.0065","0.04516666666666667","0.15816666666666668","0.30333333333333334","0.47683333333333333"
"105813.json","45","18","27","8.0","3","77","63","10","0.0025","0.020666666666666667","0.08866666666666667","0.20933333333333334","0.36733333333333335"
"105909.json","45","18","27","7.0","3","78","63","11","0.0021666666666666666","0.022166666666666668","0.087","0.202","0.349"
"105953.json","43","16","27","6.0","3","75","61","10","0.0008333333333333334","0.0215","0.09116666666666666","0.21733333333333332","0.37983333333333336"
"105959.json","48","21","27","9.0","3","82","66","12","0.0025","0.021","0.07816666666666666","0.1935","0.3408333333333333"
"105961.json","44","17","27","6.0","3","77","62","11","0.0013333333333333333","0.021333333333333333","0.08883333333333333","0.214","0.36733333333333335"
"106120.json","34","11","23","3.0","4","58","52","8","0.005833333333333334","0.0525","0.17316666666666666","0.3365","0.515"
"106204.json","45","18","27","7.0","3","77","63","11","0.0015","0.0195","0.08466666666666667","0.20683333333333334","0.36566666666666664"
"106348.json","41","16","25","4.999999999999999","4","69","59","11","0.003","0.029","0.1095","0.23766666666666666","0.39316666666666666"
"106370.json","37","13","24","4.0","4","62","55","9","0.0033333333333333335","0.04016666666666667","0.14116666666666666","0.2956666666666667","0.4563333333333333"
"106419.json","47","20","27","7.999999999999999","3","80","65","12","0.0026666666666666666","0.018","0.07533333333333334","0.18583333333333332","0.3468333333333333"
"106436.json","41","15","26","5.0","3","71","59","10","0.0026666666666666666","0.032","0.11366666666666667","0.24766666666666667","0.4195"
