"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD","inverseComplexity","inverseDelay","inverseBlocking","centrality"
"207.json",24,8,16,2.0,2,46,36,6,0.0293,0.1139,0.2638,0.4316,0.5866,7.3875,22,14,8,"20.0"
"208.json",13,3,10,0.0,4,21,25,3,0.131,0.3432,0.5542,0.7227,0.8326,5.6233,13,10,3,"6.0"
"209.json",21,6,15,2.0,3,35,33,4,0.042,0.1593,0.336,0.5131,0.6651,6.9052,22,16,6,"14.0"
"21.json",17,4,13,1.0,4,32,29,3,0.0641,0.2171,0.4129,0.5999,0.734,6.3929,18,14,4,"9.0"
"210.json",21,6,15,2.0,3,35,33,4,0.039,0.1539,0.3328,0.5033,0.6561,6.9367623300000005,22,16,6,"14.0"
"211.json",26,9,17,4.0,2,45,38,5,0.0263,0.1105,0.2527,0.4165,0.5738,7.4543,25,16,9,"22.0"
"212.json",19,5,14,1.0,3,33,31,4,0.0559,0.2039,0.3921,0.5682,0.7101,6.5333,19,14,5,"11.0"
"213.json",23,7,16,2.0,3,39,35,5,0.0262,0.1198,0.2806,0.4504,0.6072,7.2345229699999996,25,18,7,"17.0"
"214.json",26,8,18,3.0,2,46,38,5,0.0141,0.0849,0.2263,0.3979,0.5642,7.5473,26,18,8,"19.0"
"215.json",28,10,18,4.0,2,49,40,6,0.0152,0.0882,0.2126,0.3696,0.5307,7.6897,28,18,10,"25.0"
"216.json",19,5,14,1.0,3,33,31,4,0.0561,0.196,0.3901,0.5677,0.7121,6.5494,19,14,5,"11.0"
"217.json",26,8,18,3.0,2,46,38,5,0.0169,0.0888,0.2253,0.3973,0.5593,7.5468,26,18,8,"19.0"
"218.json",23,7,16,2.0,3,39,35,5,0.027,0.1259,0.2809,0.4477,0.6095,7.226,25,18,7,"17.0"
"219.json",28,10,18,4.0,2,49,40,6,0.0152,0.0788,0.2083,0.3716,0.5284,7.7259,28,18,10,"25.0"
"22.json",18,4,14,1.0,3,35,30,3,0.0545,0.1997,0.3888,0.5673,0.7146,6.5422478,18,14,4,"9.0"
"220.json",23,7,16,2.0,2,42,35,5,0.0315,0.1381,0.3047,0.4847,0.643,7.0308,21,14,7,"16.0"
"221.json",27,9,18,3.0,2,48,39,6,0.0133,0.0843,0.2224,0.3871,0.549,7.624872589999999,27,18,9,"22.0"
"222.json",27,9,18,3.0,2,48,39,6,0.0156,0.0902,0.2199,0.3888,0.5499,7.6081,27,18,9,"22.0"
"223.json",29,11,18,4.0,2,51,41,7,0.0147,0.0778,0.204,0.3599,0.515,7.8306,29,18,11,"28.0"
"224.json",13,3,10,0.0,4,21,25,3,0.1377,0.3502,0.5559,0.72,0.8322,5.622862487259,13,10,3,"6.0"
"225.json",19,5,14,1.0,3,33,31,4,0.0579,0.2037,0.3963,0.5757,0.7186,6.5187,19,14,5,"11.0"
"226.json",19,5,14,1.0,3,33,31,4,0.0544,0.1955,0.382,0.5659,0.7163,6.5391,19,14,5,"11.0"
"227.json",23,7,16,2.0,2,42,35,5,0.0319,0.1388,0.3069,0.4927,0.6426,6.997962286248726,21,14,7,"16.0"
"228.json",21,6,15,2.0,3,35,33,4,0.0415,0.1645,0.3314,0.5051,0.6567,6.9014,22,16,6,"14.0"
"229.json",23,7,16,2.0,3,39,35,5,0.0281,0.1253,0.2733,0.4513,0.6121,7.2021,25,18,7,"17.0"
"23.json",21,6,15,2.0,3,41,33,4,0.0415,0.164,0.3386,0.5079,0.6609,6.881999796228625,20,14,6,"14.0"
"230.json",26,8,18,3.0,2,46,38,5,0.0161,0.09,0.2322,0.4033,0.5674,7.472448265549999,26,18,8,"19.0"
"231.json",27,9,18,3.0,2,48,39,6,0.0156,0.0865,0.2217,0.3915,0.5494,7.6135,27,18,9,"22.0"
"232.json",21,6,15,2.0,3,35,33,4,0.0405,0.1624,0.3324,0.5122,0.6636,6.874788199979623,22,16,6,"14.0"
"233.json",26,8,18,3.0,2,46,38,5,0.0155,0.0911,0.2286,0.4029,0.5649,7.4947,26,18,8,"19.0"
"234.json",23,7,16,2.0,3,39,35,5,0.0282,0.1254,0.2811,0.455,0.611,7.2293,25,18,7,"17.0"
"235.json",27,9,18,3.0,2,48,39,6,0.0163,0.085,0.2183,0.387,0.5473,7.620587478819999,27,18,9,"22.0"
"236.json",26,9,17,4.0,2,45,38,5,0.0251,0.1079,0.2461,0.4107,0.5673,7.4841,25,16,9,"22.0"
"237.json",28,10,18,4.0,2,49,40,6,0.0159,0.0802,0.2035,0.3646,0.5318,7.7547,28,18,10,"25.0"
"238.json",28,10,18,4.0,2,49,40,6,0.0156,0.0795,0.2048,0.3657,0.52,7.788162058747883,28,18,10,"25.0"
"239.json",29,11,18,4.0,2,51,41,7,0.0155,0.0743,0.1996,0.3529,0.5049,7.9012,29,18,11,"28.0"
"24.json",12,2,10,0.0,4,23,24,2,0.1406,0.359,0.577,0.7378,0.8489,5.5104,12,10,2,"4.0"
"240.json",14,4,10,0.0,4,22,26,4,0.128,0.3219,0.5314,0.6996,0.816,5.7428,14,10,4,"8.0"
"241.json",22,7,15,2.0,3,36,34,5,0.0389,0.1587,0.3299,0.5006,0.6554,6.9095,23,16,7,"16.0"
"242.json",22,7,15,2.0,3,36,34,5,0.0404,0.1564,0.3218,0.4966,0.6519,6.9575,23,16,7,"16.0"
"243.json",27,10,17,4.0,2,46,39,6,0.0239,0.1056,0.2476,0.405,0.5661,7.4894788162058745,26,16,10,"24.0"
"244.json",22,7,15,2.0,3,36,34,5,0.0415,0.1578,0.3238,0.4938,0.6418,6.973,23,16,7,"16.0"
"245.json",24,8,16,2.0,3,40,36,6,0.0279,0.1182,0.2683,0.4371,0.6002,7.3095,26,18,8,"20.0"
"246.json",28,10,18,4.0,2,48,40,6,0.018,0.0836,0.212,0.3757,0.5409,7.65574894788162,28,18,10,"24.0"
"247.json",29,11,18,4.0,2,50,41,7,0.015,0.0774,0.1966,0.3539,0.51,7.850547244826556,29,18,11,"28.0"
"248.json",22,7,15,2.0,3,36,34,5,0.0385,0.1569,0.3294,0.4994,0.6538,6.9185,23,16,7,"16.0"
"249.json",28,10,18,4.0,2,48,40,6,0.0149,0.0793,0.2082,0.3734,0.539,7.695065574894787,28,18,10,"24.0"
"25.json",18,4,14,1.0,3,35,30,3,0.0559,0.2014,0.3974,0.5766,0.7264,6.4647,18,14,4,"9.0"
"250.json",24,8,16,2.0,3,40,36,6,0.0275,0.1167,0.2612,0.4232,0.5829,7.3847,26,18,8,"20.0"
"251.json",29,11,18,4.0,2,50,41,7,0.014,0.0787,0.1991,0.3526,0.5118,7.82646950655749,29,18,11,"28.0"
"252.json",27,10,17,4.0,2,46,39,6,0.0232,0.1043,0.2441,0.4115,0.5704,7.45012021,26,16,10,"24.0"
"253.json",29,11,18,4.0,2,50,41,7,0.0154,0.0786,0.1978,0.3537,0.5136,7.8388,29,18,11,"28.0"
"254.json",29,11,18,4.0,2,50,41,7,0.0176,0.0793,0.1925,0.3478,0.5049,7.856582646950656,29,18,11,"28.0"
"255.json",30,12,18,4.0,2,52,42,8,0.0143,0.0749,0.1891,0.3345,0.4833,8.0165,30,18,12,"32.0"
"26.json",17,4,13,1.0,4,32,29,3,0.0582,0.2084,0.3984,0.5857,0.724,6.4607,18,14,4,"9.0"
"27.json",21,6,15,2.0,3,41,33,4,0.0409,0.1596,0.3275,0.4965,0.656,6.93427428,20,14,6,"14.0"
"28.json",14,3,11,0.0,3,28,26,3,0.1228,0.3263,0.5377,0.7094,0.8237,5.6892,13,10,3,"6.0"
"29.json",19,5,14,1.0,3,37,31,4,0.0514,0.1908,0.3764,0.5575,0.7022,6.5861,19,14,5,"11.0"
"3.json",11,2,9,0.0,4,24,23,2,0.112,0.3123,0.5325,0.7057,0.8224,5.737885658264695,10,8,2,"4.0"
"30.json",19,5,14,1.0,3,37,31,4,0.053,0.1927,0.3863,0.5678,0.7131,6.5375,19,14,5,"11.0"
"31.json",22,7,15,2.0,3,43,34,5,0.0394,0.1577,0.3229,0.4991,0.6521,6.9385,21,14,7,"16.0"
"32.json",9,1,8,0.0,5,16,21,1,0.1539,0.3809,0.6051,0.7685,0.8725,5.356573788565827,9,8,1,"2.0"
"33.json",12,2,10,0.0,4,23,24,2,0.1378,0.3576,0.5702,0.7406,0.848,5.5068,12,10,2,"4.0"
"34.json",12,2,10,0.0,4,23,24,2,0.1358,0.3417,0.5644,0.7331,0.8469,5.5399,12,10,2,"4.0"
"35.json",14,3,11,0.0,3,28,26,3,0.129,0.3342,0.5429,0.7103,0.832,5.666093427428,13,10,3,"6.0"
"36.json",15,3,12,1.0,4,28,27,2,0.0622,0.2286,0.4269,0.6107,0.7454,6.3096,15,12,3,"7.0"
"37.json",17,4,13,1.0,4,32,29,3,0.0573,0.2142,0.4032,0.5799,0.719,6.4782,18,14,4,"9.0"
"38.json",18,4,14,1.0,3,35,30,3,0.0555,0.2068,0.3943,0.5758,0.719,6.483566609342742,18,14,4,"9.0"
"39.json",19,5,14,1.0,3,37,31,4,0.0535,0.2001,0.3917,0.5655,0.7107,6.5444014500000005,19,14,5,"11.0"
"4.json",9,1,8,0.0,5,19,21,1,0.1275,0.35,0.5754,0.7457,0.8534,5.5208,9,8,1,"2.0"
"40.json",15,3,12,1.0,4,28,27,2,0.0636,0.2299,0.4284,0.6068,0.7474,6.3307,15,12,3,"7.0"
"41.json",18,4,14,1.0,3,35,30,3,0.0534,0.2062,0.3977,0.58,0.7229,6.4751,18,14,4,"9.0"
"42.json",17,4,13,1.0,4,32,29,3,0.0579,0.2188,0.4167,0.5971,0.7335,6.3866,18,14,4,"9.0"
"43.json",19,5,14,1.0,3,37,31,4,0.055,0.1972,0.3939,0.5658,0.7119,6.546648356660934,19,14,5,"11.0"
"44.json",19,5,14,2.0,3,37,31,3,0.049,0.1828,0.3557,0.5417,0.6877,6.7419,17,12,5,"12.0"
"45.json",21,6,15,2.0,3,41,33,4,0.0426,0.1687,0.3408,0.5169,0.6609,6.8571,20,14,6,"14.0"
"46.json",21,6,15,2.0,3,41,33,4,0.0402,0.1629,0.3345,0.5072,0.6569,6.877135657378856,20,14,6,"14.0"
"47.json",22,7,15,2.0,3,43,34,5,0.0419,0.1576,0.3259,0.5005,0.6541,6.93,21,14,7,"16.0"
"48.json",11,2,9,0.0,4,19,23,2,0.1422,0.3657,0.5869,0.7486,0.8509,5.474,10,8,2,"4.0"
"49.json",17,4,13,1.0,3,31,29,3,0.0643,0.2271,0.4149,0.594,0.7287,6.3788,16,12,4,"9.0"
"5.json",11,2,9,0.0,5,23,23,2,0.0895,0.2854,0.5036,0.6831,0.8079,5.890185054724483,12,10,2,"4.0"
"50.json",17,4,13,1.0,3,31,29,3,0.0668,0.224,0.4146,0.5868,0.7263,6.4117,16,12,4,"9.0"
"51.json",21,6,15,2.0,2,40,33,4,0.0368,0.1546,0.3271,0.5082,0.6532,6.913254664835666,18,12,6,"14.0"
"52.json",17,4,13,1.0,3,31,29,3,0.0677,0.2297,0.4239,0.5981,0.735,6.383,16,12,4,"9.0"
"53.json",19,5,14,1.0,3,35,31,4,0.0452,0.1711,0.3458,0.5222,0.6735,6.8026,19,14,5,"12.0"
"54.json",22,6,16,2.0,2,42,34,4,0.0249,0.1287,0.2929,0.4691,0.632,7.104991325466483,20,14,6,"14.0"
"55.json",23,7,16,2.0,2,44,35,5,0.0261,0.1225,0.2798,0.4466,0.597,7.2578,21,14,7,"17.0"
