"name","complexity","completionRate","term","credits"
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.52,12.0,181.0
"Accounting - 74.json",300.0,0.74,12.0,181.0
"Accounting - 74.json",300.0,0.74,12.0,181.0
"Accounting - 74.json",300.0,0.7,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.56,12.0,181.0
"Accounting - 74.json",300.0,0.66,12.0,181.0
"Accounting - 74.json",300.0,0.66,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.7,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.73,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.61,12.0,181.0
"Accounting - 74.json",300.0,0.54,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.58,12.0,181.0
"Applied Baccalaureate - 83.json",155.0,0.79,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.73,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.64,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.71,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.64,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.73,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.73,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.67,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.79,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.73,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.83,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.6,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
