"combinations","n","pMax","pAvg","r2"
"delay,centrality,free","3","0.22728508356049953","0.056822007344440234","0.8686540321525654"
"delay,centrality,edges","3","2.4326926693296918e-5","1.1156919073378674e-5","0.8666970252191666"
"delay,reachability,term_blocking","3","0.004384712642643998","0.001139215248868754","0.8639266602798512"
"delay,reachability,term_centrality","3","1.2929512944585462e-10","3.290214894591803e-11","0.8797248173157906"
"delay,reachability,free","3","0.5783939752630094","0.14459902539219935","0.8680582862182642"
"delay,reachability,edges","3","0.00048525570741051176","0.0001766182670710557","0.8636861351006252"
"delay,term_blocking,term_centrality","3","0.9766310471772688","0.32704534431642013","0.8600823279049677"
"delay,term_blocking,free","3","0.0075447619577636935","0.0018864940607807004","0.8715222604878061"
"delay,term_blocking,edges","3","4.4236476418009905e-9","1.191948076733767e-9","0.8763825460026464"
"delay,term_centrality,term_reachability","3","0.9766310471772647","0.3270453443164185","0.8600823279049676"
"delay,term_centrality,free","3","0.013618654090722855","0.003405588268452994","0.8710008106307454"
"delay,term_centrality,edges","3","3.5226987548913905e-8","9.213015199627905e-9","0.8750889138306713"
"delay,term_reachability,free","3","0.0075447619577636935","0.0018864940607807004","0.8715222604878061"
"delay,term_reachability,edges","3","4.4236476418009905e-9","1.191948076733767e-9","0.8763825460026464"
"delay,free,edges","3","0.48698778861247516","0.12174801055776191","0.8681490309463463"
"centrality,reachability,term_complexity","3","0.0003067936682605477","0.000123705724361815","0.8513318837551901"
"centrality,reachability,term_blocking","3","0.6356177967026246","0.2922760075708401","0.7553293414592421"
"centrality,reachability,term_delay","3","0.0004938576237585368","0.000139466320606229","0.8635146572937099"
"centrality,reachability,free","3","0.8724169940700643","0.2422699956377908","0.7646385415433916"
"centrality,reachability,edges","3","0.23978651062680661","0.060019012619265025","0.7649224723719809"
"centrality,term_complexity,term_reachability","3","0.00019504121666712225","4.8772746292689207e-5","0.8596289320790467"
"centrality,term_complexity,free","3","0.12706700559696857","0.03176717534234861","0.8561624741759468"
"centrality,term_complexity,edges","3","0.0005336199471103112","0.00013344180681687978","0.8585779897905106"
"centrality,term_blocking,term_delay","3","0.028473011383140456","0.007167013149951893","0.8596289320790467"
"centrality,term_blocking,free","3","0.02102464198970944","0.005730333360414956","0.7694664602240509"
"centrality,term_blocking,edges","3","4.254184173094608e-5","1.309346504230986e-5","0.7703222153783689"
"centrality,term_delay,term_reachability","3","0.02847301138317022","0.007167013149959323","0.8596289320790468"
"centrality,term_delay,free","3","0.0034487844130366516","0.0008622021873194047","0.8881049660314633"
"centrality,term_delay,edges","3","4.227509961111313e-5","1.0582901246084116e-5","0.86585598712907"
"centrality,term_reachability,free","3","0.02102464198970944","0.005730333360414956","0.7694664602240509"
"centrality,term_reachability,edges","3","4.254184173094608e-5","1.309346504230986e-5","0.7703222153783689"
"centrality,free,edges","3","2.7673660746335217e-5","6.923375220640331e-6","0.779900812159555"
"reachability,term_complexity,term_centrality","3","0.8922691926269525","0.4184391410955831","0.8437236158017732"
"reachability,term_complexity,free","3","0.032058177110090895","0.008014739499450245","0.8574285614733026"
"reachability,term_complexity,edges","3","0.0023233509987247033","0.0005811064917175888","0.8571115408179355"
"reachability,term_blocking,term_delay","3","0.17181268067196329","0.04490764280201845","0.8559568327208438"
"reachability,term_blocking,term_centrality","3","0.903268648190321","0.4211638108136382","0.7589986575527556"
"reachability,term_blocking,free","3","0.01825762049160755","0.006496452767437163","0.7671970448548188"
"reachability,term_blocking,edges","3","0.0001494253922871046","3.757316534390301e-5","0.7763498296533757"
"reachability,term_delay,term_centrality","3","0.36131929991140166","0.10580250064945058","0.8568660247269391"
"reachability,term_delay,free","3","0.011403548507521778","0.0028509042852284255","0.8871766500409688"
"reachability,term_delay,edges","3","9.434297717968247e-5","2.384250375967005e-5","0.8631414212438207"
"reachability,term_centrality,free","3","0.2207568865972994","0.05520018777454061","0.777032326952318"
"reachability,term_centrality,edges","3","0.028651357672510428","0.010051969708775876","0.7695434113777985"
"reachability,free,edges","3","8.047398139513087e-7","2.7868721003837526e-7","0.7843871762493093"
"term_complexity,term_centrality,term_reachability","3","2.0809173643184384e-6","5.204245258429301e-7","0.8640311287762351"
"term_complexity,term_centrality,free","3","0.0005684267710220738","0.00014211020697981467","0.8613477367757678"
"term_complexity,term_centrality,edges","3","0.0592539883097082","0.014819985489186067","0.8539277153253632"
"term_complexity,term_reachability,free","3","1.5068741042463423e-5","3.7671852608680174e-6","0.884324749946544"
"term_complexity,term_reachability,edges","3","0.09910107531337689","0.04810978766206364","0.8535038555670513"
"term_complexity,free,edges","3","6.857463762662963e-5","1.81040851699067e-5","0.8633967830782984"
"term_blocking,term_delay,term_centrality","3","0.00016354561257108077","4.140663248385072e-5","0.8640311287762351"
"term_blocking,term_delay,free","3","0.9385382385792427","0.23463832683007124","0.8843247499465439"
"term_blocking,term_delay,edges","3","0.09910107531337985","0.02910977338576754","0.8535038555670512"
"term_blocking,term_centrality,free","3","0.4740028820707339","0.11851009922494578","0.7761644102205593"
"term_blocking,term_centrality,edges","3","0.29281730796326805","0.07443586503845535","0.7662042651050172"
"term_blocking,free,edges","3","9.135965492101249e-5","2.285014939235114e-5","0.7742687519563092"
"term_delay,term_centrality,term_reachability","3","0.0001635456125710211","4.1406632483835525e-5","0.864031128776235"
"term_delay,term_centrality,free","3","0.0568871217595318","0.01422184356678543","0.885956456067709"
"term_delay,term_centrality,edges","3","0.0004825114304675149","0.00012092835860055961","0.8629916040740722"
"term_delay,term_reachability,free","3","0.9385382385782599","0.23463832682982552","0.8843247499465439"
"term_delay,term_reachability,edges","3","0.09910107531335656","0.029109773385751568","0.8535038555670513"
"term_delay,free,edges","3","0.0697052623075774","0.01742668854913365","0.8858069685150805"
"term_centrality,term_reachability,free","3","0.47400288207072183","0.11851009922494275","0.7761644102205593"
"term_centrality,term_reachability,edges","3","0.2928173079632038","0.07443586503843856","0.7662042651050169"
"term_centrality,free,edges","3","5.618807383378046e-6","1.406521747641259e-6","0.792608640552479"
"term_reachability,free,edges","3","9.135965492101249e-5","2.285014939235114e-5","0.7742687519563092"
"complexity,centrality,reachability,free","4","6.46599092451462e-5","2.3477871767132206e-5","0.8759173606316949"
"complexity,centrality,reachability,edges","4","0.0511000264209011","0.010341964036026588","0.869833461446619"
"complexity,centrality,term_reachability,edges","4","0.0020477671129709913","0.0004150968771798264","0.8703519090892013"
"complexity,centrality,free,edges","4","0.012543374473000437","0.0033217926642002","0.8657176115490132"
"complexity,reachability,term_centrality,free","4","9.427894179085344e-6","1.8855812359869285e-6","0.8884143178468288"
"complexity,reachability,term_centrality,edges","4","0.016138256649071026","0.003227651379688087","0.8824251875459673"
"complexity,reachability,free,edges","4","0.026203474299295062","0.005302401259369393","0.8705963145335884"
"complexity,term_centrality,term_reachability,free","4","0.1264298866176929","0.0266530569392097","0.84362766286321"
"complexity,term_centrality,term_reachability,edges","4","0.019789708617243107","0.004004953712011848","0.8682992041648772"
"complexity,term_centrality,free,edges","4","0.6667470241453191","0.15881632219188976","0.8624977537514675"
"complexity,term_reachability,free,edges","4","0.22802062299003267","0.04704084461359867","0.8662325566881531"
"blocking,delay,centrality,term_reachability","4","6.471215164608681e-6","1.3136785869409512e-6","0.8777380443134026"
"blocking,delay,centrality,free","4","0.0001226741760999154","4.8012656680206666e-5","0.875917360631695"
"blocking,delay,centrality,edges","4","0.05110002642078839","0.013078905619896561","0.8698334614466189"
"blocking,delay,term_centrality,term_reachability","4","0.04748437198895397","0.009496874579230687","0.8815708746702231"
"blocking,delay,term_centrality,free","4","9.42789417908732e-6","1.8856529676191194e-6","0.8884143178468287"
"blocking,delay,term_centrality,edges","4","0.01613825664907112","0.003242309401335073","0.8824251875459672"
"blocking,delay,term_reachability,free","4","0.00043035639596023754","8.80819765994682e-5","0.8775456342212122"
"blocking,delay,term_reachability,edges","4","0.8616118180639356","0.17232252690926503","0.876397451107714"
"blocking,delay,free,edges","4","0.029030124346821784","0.011095542536878387","0.8705963145335884"
"blocking,centrality,term_delay,term_reachability","4","0.18225250259006578","0.037003055312228354","0.8644715099670022"
"blocking,centrality,term_delay,free","4","0.021428227872032184","0.005571268224615935","0.8904062708397037"
"blocking,centrality,term_delay,edges","4","0.17061625623974164","0.0381428003996626","0.8668480328182272"
"blocking,centrality,term_reachability,edges","4","0.22771674534887817","0.04637198359392365","0.7776337883790699"
"blocking,centrality,free,edges","4","0.9689965195152349","0.19820188674078076","0.7843884687503064"
"blocking,term_delay,term_centrality,term_reachability","4","0.029626334443609598","0.0059306898059305144","0.8665366617387187"
"blocking,term_delay,term_centrality,free","4","0.055631858428425975","0.013434091696245718","0.8887931412184353"
"blocking,term_delay,term_reachability,edges","4","0.8327607662546066","0.1666108417269712","0.8631656330218412"
"blocking,term_delay,free,edges","4","0.40154633632545295","0.09073574965705236","0.8874908233016991"
"blocking,term_centrality,term_reachability,free","4","0.2271944206386719","0.06909583656077355","0.7783152308321954"
"blocking,term_centrality,term_reachability,edges","4","0.22771674534889166","0.04610052507505978","0.7776337883790694"
"blocking,term_centrality,free,edges","4","0.21963619126401623","0.044063450294595255","0.7938412950651856"
"blocking,term_reachability,free,edges","4","7.087950145876206e-5","1.4273272291010452e-5","0.797098492256398"
"delay,centrality,reachability,term_blocking","4","6.471215164601937e-6","1.3136785869393564e-6","0.8777380443134025"
"delay,centrality,reachability,free","4","0.00012267417610003624","4.801265668028799e-5","0.8759173606316949"
"delay,centrality,reachability,edges","4","0.051100026420781215","0.013078905619893787","0.869833461446619"
"delay,centrality,term_blocking,free","4","0.05485731797102143","0.011406790859834863","0.8733746178176702"
"delay,centrality,term_blocking,edges","4","0.36060271372028274","0.07212164916003144","0.8767911852169925"
"delay,centrality,term_reachability,free","4","0.05485731797102143","0.011406790859834863","0.8733746178176702"
"delay,centrality,term_reachability,edges","4","0.36060271372028274","0.07212164916003144","0.8767911852169925"
"delay,centrality,free,edges","4","0.004771603769787148","0.0016212663971720657","0.8726778323401305"
