"combinations","r2"
"complexity,inverseBlocking,inverseDelay,free,timeComp2","0.8177399435232401"
"complexity,inverseBlocking,inverseDelay,timeComp1,timeComp2","0.8308370887803053"
"complexity,inverseBlocking,centrality,creditHours,free","0.9192138373088077"
"complexity,inverseBlocking,centrality,creditHours,timeComp1","0.9214322042708407"
"complexity,inverseBlocking,centrality,creditHours,timeComp2","0.9242377258413257"
"complexity,inverseBlocking,centrality,free,timeComp2","0.8240299480044142"
"complexity,inverseBlocking,centrality,timeComp1,timeComp2","0.8334382152932616"
"complexity,inverseBlocking,creditHours,free,timeComp1","0.913906804848658"
"complexity,inverseBlocking,creditHours,free,timeComp2","0.9200542917509639"
"complexity,inverseBlocking,creditHours,timeComp1,timeComp2","0.9185820512654645"
"complexity,inverseBlocking,free,timeComp1,timeComp2","0.8308173090441493"
"complexity,inverseDelay,centrality,creditHours,free","0.9193001368564754"
"complexity,inverseDelay,centrality,creditHours,timeComp1","0.9217735805146019"
"complexity,inverseDelay,centrality,creditHours,timeComp2","0.9246596046547331"
"complexity,inverseDelay,centrality,free,timeComp1","0.8036188273794864"
"complexity,inverseDelay,centrality,free,timeComp2","0.8232982995718334"
"complexity,inverseDelay,centrality,timeComp1,timeComp2","0.8322839942696554"
"complexity,inverseDelay,creditHours,free,timeComp1","0.9024343110241997"
"complexity,inverseDelay,creditHours,free,timeComp2","0.9158148857844441"
"complexity,inverseDelay,free,timeComp1,timeComp2","0.8180095874375218"
"complexity,centrality,creditHours,free,timeComp1","0.921668934041816"
"complexity,centrality,creditHours,free,timeComp2","0.9248726005048042"
"complexity,centrality,creditHours,timeComp1,timeComp2","0.9248609163915024"
"complexity,centrality,free,timeComp1,timeComp2","0.8321817057327354"
"complexity,creditHours,free,timeComp1,timeComp2","0.9156891900967493"
"blocking,delay,inverseDelay,centrality,creditHours","0.9192986718185211"
"blocking,delay,inverseDelay,centrality,free","0.5453067839597084"
"blocking,delay,inverseDelay,centrality,timeComp1","0.7923043636676455"
"blocking,delay,inverseDelay,centrality,timeComp2","0.8187699386790368"
"blocking,delay,inverseDelay,creditHours,free","0.91299136350733"
"blocking,delay,inverseDelay,creditHours,timeComp1","0.9143817460135151"
"blocking,delay,inverseDelay,creditHours,timeComp2","0.919095939588212"
"blocking,delay,inverseDelay,free,timeComp1","0.8052470247869402"
"blocking,delay,inverseDelay,free,timeComp2","0.8177399435232402"
"blocking,delay,inverseDelay,timeComp1,timeComp2","0.8308370887803052"
"blocking,delay,centrality,creditHours,timeComp1","0.9214322042708405"
"blocking,delay,centrality,creditHours,timeComp2","0.9242377258413257"
"blocking,delay,centrality,free,timeComp1","0.8051405027107715"
"blocking,delay,centrality,free,timeComp2","0.8240299480044142"
"blocking,delay,centrality,timeComp1,timeComp2","0.8334382152932616"
"blocking,delay,creditHours,free,timeComp1","0.9139068048486583"
"blocking,delay,creditHours,free,timeComp2","0.9200542917509639"
"blocking,delay,creditHours,timeComp1,timeComp2","0.9185820512654645"
"blocking,delay,free,timeComp1,timeComp2","0.8308173090441494"
"blocking,inverseDelay,centrality,creditHours,free","0.918938301246063"
"blocking,inverseDelay,centrality,creditHours,timeComp1","0.9216954609281947"
"blocking,inverseDelay,centrality,creditHours,timeComp2","0.9243942423096985"
"blocking,inverseDelay,centrality,free,timeComp1","0.7956337817197578"
"blocking,inverseDelay,centrality,free,timeComp2","0.8048154539221057"
"blocking,inverseDelay,centrality,timeComp1,timeComp2","0.817265903516522"
"blocking,inverseDelay,creditHours,free,timeComp1","0.9112598793720599"
"blocking,inverseDelay,creditHours,free,timeComp2","0.921360248030874"
"blocking,inverseDelay,creditHours,timeComp1,timeComp2","0.9196727786114769"
"blocking,inverseDelay,free,timeComp1,timeComp2","0.8058479705840702"
"blocking,centrality,creditHours,free,timeComp1","0.9216785659604896"
"blocking,centrality,creditHours,free,timeComp2","0.9234270084504749"
"blocking,centrality,creditHours,timeComp1,timeComp2","0.9234869439709511"
"blocking,centrality,free,timeComp1,timeComp2","0.806261180528595"
"blocking,creditHours,free,timeComp1,timeComp2","0.9197682734844508"
"delay,inverseBlocking,inverseDelay,centrality,creditHours","0.9192986718185211"
"delay,inverseBlocking,inverseDelay,centrality,timeComp1","0.7923043636676455"
"delay,inverseBlocking,inverseDelay,centrality,timeComp2","0.8187699386790368"
