"combinations","n","r2"
"complexity,delay,inverseBlocking,free,timeComp1","5","0.8051739860972826"
"complexity,delay,inverseBlocking,free,timeComp2","5","0.8190320759736818"
"complexity,delay,inverseBlocking,timeComp1,timeComp2","5","0.8315790655391092"
"complexity,delay,inverseDelay,centrality,creditHours","5","0.9189796782819951"
"complexity,delay,inverseDelay,centrality,free","5","0.5458663914790185"
"complexity,delay,inverseDelay,centrality,timeComp1","5","0.7918733325688543"
"complexity,delay,inverseDelay,centrality,timeComp2","5","0.8201794086262051"
"complexity,delay,inverseDelay,creditHours,free","5","0.9128721108125394"
"complexity,delay,inverseDelay,creditHours,timeComp1","5","0.9142522387020326"
"complexity,delay,inverseDelay,creditHours,timeComp2","5","0.9183448222873983"
"complexity,delay,inverseDelay,free,timeComp1","5","0.8053090612331972"
"complexity,delay,inverseDelay,free,timeComp2","5","0.8190320776068365"
"complexity,delay,inverseDelay,timeComp1,timeComp2","5","0.8316325127741714"
"complexity,delay,centrality,creditHours,free","5","0.9188793729136343"
"complexity,delay,centrality,creditHours,timeComp1","5","0.9211324958647423"
"complexity,delay,centrality,creditHours,timeComp2","5","0.9233910980298075"
"complexity,delay,centrality,free,timeComp1","5","0.8052001484178558"
"complexity,delay,centrality,free,timeComp2","5","0.8251726150350132"
"complexity,delay,centrality,timeComp1,timeComp2","5","0.8342095354249823"
"complexity,delay,creditHours,free,timeComp1","5","0.9137571311469865"
"complexity,delay,creditHours,free,timeComp2","5","0.9193777466948838"
"complexity,delay,creditHours,timeComp1,timeComp2","5","0.9178995071074192"
"complexity,delay,free,timeComp1,timeComp2","5","0.8316222962708307"
"complexity,inverseBlocking,inverseDelay,centrality,creditHours","5","0.9189796782819951"
"complexity,inverseBlocking,inverseDelay,centrality,free","5","0.5458663914790183"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp1","5","0.7918733325688542"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp2","5","0.8201794086262051"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp1","5","0.9142522387020328"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp2","5","0.9183448222873984"
"complexity,inverseBlocking,inverseDelay,free,timeComp1","5","0.8053090612331972"
"complexity,inverseBlocking,inverseDelay,free,timeComp2","5","0.8190320776068364"
"complexity,inverseBlocking,inverseDelay,timeComp1,timeComp2","5","0.8316325127741714"
"complexity,inverseBlocking,centrality,creditHours,free","5","0.9188793729136343"
"complexity,inverseBlocking,centrality,creditHours,timeComp1","5","0.9211324958647424"
"complexity,inverseBlocking,centrality,creditHours,timeComp2","5","0.9233910980298075"
"complexity,inverseBlocking,centrality,free,timeComp1","5","0.8052001484178559"
"complexity,inverseBlocking,centrality,free,timeComp2","5","0.8251726150350132"
"complexity,inverseBlocking,centrality,timeComp1,timeComp2","5","0.8342095354249822"
"complexity,inverseBlocking,creditHours,free,timeComp1","5","0.9137571311469864"
"complexity,inverseBlocking,creditHours,free,timeComp2","5","0.9193777466948838"
"complexity,inverseBlocking,creditHours,timeComp1,timeComp2","5","0.9178995071074192"
"complexity,inverseDelay,centrality,creditHours,free","5","0.9189682132913323"
"complexity,inverseDelay,centrality,creditHours,timeComp1","5","0.92149017822983"
"complexity,inverseDelay,centrality,creditHours,timeComp2","5","0.9238615492638562"
"complexity,inverseDelay,centrality,free,timeComp1","5","0.8035031565538663"
"complexity,inverseDelay,centrality,free,timeComp2","5","0.8243053225861763"
"complexity,inverseDelay,centrality,timeComp1,timeComp2","5","0.8328948391613408"
"complexity,inverseDelay,creditHours,free,timeComp1","5","0.9018392277761346"
"complexity,inverseDelay,creditHours,free,timeComp2","5","0.9146706417064651"
"complexity,inverseDelay,creditHours,timeComp1,timeComp2","5","0.9132171152633264"
