"combinations","coefs","n","pMax","pAvg","r2"
"blocking,centrality,edges","9.482610029710333,-0.005134760151769649,0.003111608462649206,0.010448727837473823","3","0.5376585789477069","0.2635793907027627","0.4953415629783757"
"blocking,free,edges","9.581212355243993,0.007633596417677313,-0.00530333958958697,0.0043047456398585295","3","0.7591293907576115","0.3732321536061006","0.4541959991295733"
"delay,centrality,reachability","10.176547646885458,-0.016308517521041024,0.00016417009948007852,0.027270573978772087","3","0.9291590917734324","0.23772902309435956","0.5947616297865136"
"delay,centrality,free","10.259989268462602,-0.005957019590238047,0.003797508779842675,-0.011040217497873789","3","0.35554582996566075","0.10518348877910805","0.539000534299982"
"delay,centrality,edges","9.788824338549801,-0.006331490412270878,0.0035566495639685635,0.01107480367582255","3","0.3119051267070113","0.09154379349619111","0.5412908109431679"
"delay,reachability,free","10.205763166568445,-0.016488089092067525,0.028021115173492383,-0.0009022491885995172","3","0.9383940486374214","0.23476688649248134","0.5947379311642698"
"delay,reachability,edges","10.269684876717825,-0.017196001381453437,0.03015842675479167,-0.0055871834058870765","3","0.6395465509262221","0.16003097523689325","0.5973408610310073"
"delay,free,edges","9.455111332596276,0.0019191664419483197,-0.007768873990543646,0.02181401518856134","3","0.6034205515646268","0.2870268693672031","0.3835335952050719"
"centrality,reachability,free","9.916837687361586,0.0030385919297431035,-0.0034969939339656395,-0.01012051859417176","3","0.640879250810345","0.29411472183469684","0.4947920546839434"
"centrality,reachability,edges","9.482610029710333,0.003111608462649202,-0.0051347601517696285,0.010448727837473819","3","0.5376585789477079","0.2635793907027629","0.49534156297837617"
"centrality,free,edges","9.700924498359331,0.002047892037956857,-0.0064780841108984695,0.003922534226118169","3","0.7482504353474855","0.34650421744703536","0.49304326291295286"
"reachability,free,edges","9.581212355243993,0.007633596417677313,-0.00530333958958697,0.0043047456398585295","3","0.7591293907576115","0.3732321536061006","0.4541959991295733"
"credits,complexity,centrality,reachability","2.868272658968303,0.05844343504473469,-0.0070957287008675,0.002793046396135917,0.01162173638369966","4","0.25084907568682246","0.05892295475989264","0.8726964619568773"
"credits,complexity,centrality,free","2.6212020371836307,0.06093267548653591,-0.0037362072513874895,0.0037827494398038806,-0.004737790208638818","4","0.4707818772986153","0.09511149190287196","0.8695709287381023"
"credits,complexity,reachability,free","3.477183435165274,0.05345576179494695,-0.01166499265484567,0.032520467459898394,0.0020539428287237394","4","0.7780899976947165","0.15570958082053019","0.8472913682355726"
"credits,complexity,free,edges","2.072907244863792,0.06282466018258685,0.0029793986300228037,-0.006861214697987726,-0.0036617806517837454","4","0.7018612468724988","0.25495803746310536","0.7426673252538551"
"credits,blocking,delay,centrality","2.868272658968771,0.058443435044731214,0.00452600768283647,-0.007095728700869258,0.0027930463961353693","4","0.5266985621311538","0.1140928520487507","0.8726964619568772"
"credits,blocking,delay,free","3.4771834351647937,0.053455761794950526,0.02085547480505338,-0.011664992654846114,0.002053942828725823","4","0.7780899976944974","0.15570909894547766","0.8472913682355729"
"credits,blocking,delay,edges","3.3211242446111364,0.057680078197034,0.02672535796767702,-0.013383267924984036,-0.019123390290735814","4","0.00553091083576652","0.001120328424691103","0.8765954764829611"
"credits,blocking,centrality,free","2.253218678940446,0.06307083494128746,-0.009641725084669848,0.004167627053099418,-0.005932183464301129","4","0.4008775927222031","0.08607417983433978","0.8574767903628111"
"credits,blocking,centrality,edges","1.8761197746337217,0.06514355631865623,-0.006613685670971084,0.003885424003473413,-0.006612588097616409","4","0.3651873327403173","0.10660808917290635","0.8579730738089083"
"credits,blocking,free,edges","2.236576572000878,0.06274193489306232,0.009297656711621511,-0.005376658344845928,-0.01322634659678698","4","0.5423729281535671","0.1449996891166369","0.7930763938291221"
"credits,delay,centrality,reachability","2.868272658968963,0.0584434350447295,-0.007095728700868603,0.002793046396135632,0.004526007682834713","4","0.5266985621313174","0.1140928520487852","0.872696461956877"
"credits,delay,centrality,free","2.7934958526808944,0.05966290861461967,-0.005435571650824324,0.00336263126675083,-0.0036566784618480767","4","0.569894560660733","0.11451100387659374","0.8723896605626895"
"credits,delay,centrality,edges","2.3547139109810757,0.06296579784409778,-0.0047619844996732025,0.0036444807390062658,-0.007780545218427491","4","0.20162634017748282","0.04219704288382248","0.8773516810080485"
"credits,delay,reachability,free","3.4771834351652786,0.05345576179494691,-0.011664992654845694,0.02085547480505276,0.002053942828723769","4","0.7780899976947135","0.15570909894552082","0.8472913682355729"
"credits,delay,reachability,edges","3.32112424461114,0.057680078197033975,-0.013383267924984031,0.02672535796767701,-0.019123390290735783","4","0.005530910835766543","0.0011203284246911074","0.876595476482961"
"credits,delay,free,edges","2.0986134069811233,0.062202779754580606,0.0036723351178097503,-0.007838278305415343,0.0034915429242348933","4","0.7134061994026287","0.26133334005276787","0.7115955454509051"
"credits,centrality,reachability,free","2.253218678940439,0.0630708349412875,0.004167627053099427,-0.009641725084669877,-0.005932183464301075","4","0.40087759272220685","0.08607417983434056","0.8574767903628111"
"credits,centrality,reachability,edges","1.8761197746341154,0.0651435563186529,0.0038854240034737557,-0.006613685670972847,-0.006612588097614145","4","0.3651873327404819","0.1066080891729119","0.8579730738089081"
"credits,centrality,free,edges","2.1440990515880554,0.06479099179966641,0.002517282982545072,-0.006809809315105495,-0.0143681773368424","4","0.35933267829847904","0.08347491374655122","0.8522277268132941"
"credits,reachability,free,edges","2.236576572000878,0.06274193489306232,0.009297656711621511,-0.005376658344845928,-0.01322634659678698","4","0.5423729281535671","0.1449996891166369","0.7930763938291221"
"complexity,centrality,reachability,free","10.212539154353168,-0.0161569585894452,0.00021710020593538319,0.04293102604919671,-0.0012651984418139254","4","0.9180066885693567","0.3700520916792634","0.5948957908806634"
"complexity,centrality,reachability,edges","10.28265120309187,-0.01757191544754937,-0.00021737913197232518,0.04912117785928117,-0.006153356786197536","4","0.9151811263264035","0.31556911340639726","0.5974835463964976"
"complexity,centrality,free,edges","9.960527372328384,-0.003932981545072728,0.0037690028023891612,-0.007989003593240306,0.009591174488659131","4","0.5473396913844633","0.22053251861212111","0.5304636091530197"
"complexity,reachability,free,edges","10.360874807031346,-0.017126733081583877,0.04712714976296575,-0.0026872198720400147,-0.00637771744242848","4","0.8274225966341398","0.28840459449495537","0.5979380191359205"
"blocking,delay,centrality,edges","10.28265120309172,0.03154926241172332,-0.017571915447546143,-0.00021737913197137883,-0.006153356786192621","4","0.9151811263267692","0.31918211771840377","0.597483546396497"
"blocking,delay,free,edges","10.360874807031346,0.030000416681381873,-0.017126733081583863,-0.0026872198720400003,-0.0063777174424285545","4","0.8274225966341406","0.2883932835876125","0.5979380191359205"
"blocking,centrality,free,edges","9.758804849202598,-0.005781272548200252,0.0032203686790817005,-0.007748414740161039,0.008192207149191874","4","0.5741542359603471","0.3419631957182141","0.5002729469478125"
"delay,centrality,reachability,free","10.21253915435317,-0.016156958589445224,0.00021710020593538235,0.026774067459751555,-0.0012651984418139632","4","0.9180066885693542","0.37392707932644315","0.594895790880664"
"delay,centrality,reachability,edges","10.28265120309172,-0.017571915447546153,-0.00021737913197138802,0.031549262411723386,-0.006153356786192694","4","0.9151811263267665","0.3191821177184029","0.5974835463964976"
"delay,centrality,free,edges","10.059950400923896,-0.006411756541657017,0.003553396151035258,-0.007532397592755655,0.00842854678905673","4","0.5632860820955146","0.21975479482178278","0.5460297832780662"
"delay,reachability,free,edges","10.360874807031346,-0.017126733081583856,0.03000041668138187,-0.0026872198720400142,-0.006377717442428546","4","0.8274225966341398","0.28839328358761246","0.5979380191359207"
"centrality,reachability,free,edges","9.758804849202598,0.0032203686790817027,-0.00578127254820026,-0.007748414740161025,0.00819220714919188","4","0.5741542359603481","0.341963195718214","0.5002729469478129"
"credits,complexity,centrality,reachability,free","2.932933070707329,0.0584988975570195,-0.0067854979660148,0.0029008321354748955,0.010302248065143307,-0.002516789673272971","5","0.7186832537060519","0.18765039851541754","0.873227099935544"
"credits,complexity,centrality,reachability,edges","2.8939601259073697,0.060250945610900074,-0.009808016380752547,0.0019691844165322793,0.023781118309056232,-0.014597888350639035","5","0.07923994443170428","0.02692855384634005","0.8877496239742464"
"credits,complexity,centrality,free,edges","2.4753020051203065,0.06377404506766657,-0.0032207747360799314,0.003919357690367644,-0.008041916155778008,-0.009438959467651485","5","0.24362869841144896","0.07054190536882404","0.8772340935002902"
"credits,complexity,reachability,free,edges","3.4299828956745397,0.057717295945614755,-0.013294712533909214,0.03982146078928041,-0.0033400106053400286,-0.020114698336357654","5","0.6289699084262372","0.10578943704661638","0.8775178862241094"
"credits,blocking,delay,centrality,free","2.9329330707073993,0.05849889755701887,0.003516750099124171,-0.006785497966012991,0.0029008321354754385,-0.002516789673274443","5","0.718683253705894","0.238734956146057","0.8732270999355439"
"credits,blocking,delay,centrality,edges","2.8939601259073497,0.06025094561089925,0.013973101928296996,-0.009808016380749974,0.001969184416533026,-0.014597888350635229","5","0.09015617282318122","0.03593265660859576","0.8877496239742463"
"credits,blocking,delay,free,edges","3.4299828956742693,0.05771729594561716,0.026526748255371907,-0.013294712533909613,-0.003340010605339753,-0.02011469833635881","5","0.6289699084262658","0.10578943620289259","0.8775178862241096"
"credits,blocking,centrality,free,edges","2.1665246940029412,0.06522689662804058,-0.0073181315977254285,0.004004601825688194,-0.008420068871526798,-0.009086537379210988","5","0.24965001058792186","0.09977960443896439","0.8637958503542063"
"credits,delay,centrality,reachability,free","2.932933070707393,0.05849889755701891,-0.006785497966012952,0.002900832135475448,0.0035167500991240964,-0.002516789673274472","5","0.7186832537058908","0.2387349561460579","0.873227099935544"
"credits,delay,centrality,reachability,edges","2.8939601259072023,0.06025094561090102,-0.009808016380751362,0.001969184416532521,0.0139731019283011,-0.014597888350637842","5","0.09015617282308776","0.03593265660858638","0.8877496239742464"
"credits,delay,centrality,free,edges","2.627254629682637,0.06297345567426045,-0.004842746217325836,0.0036412101834416336,-0.007596817837091671,-0.010451727177837962","5","0.26010116355483875","0.06257456958506429","0.8821720543835917"
"credits,delay,reachability,free,edges","3.4299828956745477,0.0577172959456147,-0.013294712533909236,0.026526748255371258,-0.0033400106053399978,-0.02011469833635773","5","0.6289699084262409","0.10578943620288885","0.8775178862241094"
"credits,centrality,reachability,free,edges","2.1665246940034124,0.06522689662803677,0.004004601825688595,-0.007318131597727489,-0.008420068871527303,-0.009086537379208545","5","0.24965001058789288","0.09977960443896085","0.8637958503542061"
"complexity,centrality,reachability,free,edges","10.3644926544447,-0.01738305238512567,-0.00014598549831640383,0.04832633348257185,-0.002537226976828434,-0.006713817667036636","5","0.9446559946101462","0.40659253262068934","0.5980005108242943"
"blocking,delay,centrality,free,edges","10.364492654444629,0.03094328109743906,-0.01738305238512297,-0.00014598549831560463,-0.002537226976829933,-0.006713817667033182","5","0.9446559946104487","0.41039432469883613","0.5980005108242947"
"delay,centrality,reachability,free,edges","10.364492654444632,-0.017383052385122923,-0.0001459854983155926,0.030943281097438956,-0.0025372269768300245,-0.0067138176670332545","5","0.9446559946104538","0.41039432469883597","0.5980005108242947"
"credits,complexity,centrality,reachability,free,edges","3.039203507319151,0.06053071708147297,-0.009357617740616985,0.0021359683786114636,0.021919640930733512,-0.0055664328940899675,-0.01586669747551784","6","0.4101595490664208","0.08152593621907266","0.8902316266447785"
"credits,blocking,delay,centrality,free,edges","3.039203507319154,0.06053071708147295,0.0125620231901164,-0.009357617740616943,0.002135968378611479,-0.005566432894090027,-0.01586669747551776","6","0.41015954906641583","0.09271230672241518","0.8902316266447783"
"credits,delay,centrality,reachability,free,edges","3.0392035073191668,0.060530717081472875,-0.009357617740616974,0.0021359683786114727,0.012562023190116461,-0.005566432894090122,-0.015866697475517798","6","0.41015954906640884","0.09271230672241479","0.8902316266447785"
