"combinations","coefs","n","pMax","pAvg","r2"
"complexity,centrality,free","74.11678707690886,0.052528460192946165,-0.09022096984507376,0.16055337398056338","3","0.5964786101126051","0.23481812903560925","0.5589381222041938"
"complexity,centrality,edges","81.24385907743357,0.059673352333857795,-0.08710489937151535,-0.19531377377123335","3","0.4897088948450673","0.19695453646081482","0.5614560922622257"
"complexity,reachability,free","72.23611739543934,0.3846545746917344,-1.092488352013421,-0.09150905407336979","3","0.7498940471596529","0.18775453489248786","0.6304401225942473"
"complexity,reachability,edges","65.67218674298074,0.4086601047247703,-1.1881006034676083,0.23752714832874533","3","0.414096938714558","0.10371749123467615","0.6364673066830819"
"complexity,free,edges","89.02779439294119,-0.07230584262556279,0.08938047135692954,-0.3262461484084885","3","0.8053166094343929","0.2952303841120945","0.4570824830153195"
"blocking,delay,centrality","69.62997776639659,-0.681835718721907,0.37557786428320045,-0.0018074379376665434","3","0.9672106789911588","0.247298021334773","0.6293539931202232"
"blocking,delay,free","72.23611739543969,-0.707833777321681,0.3846545746917291,-0.09150905407337308","3","0.7498940471596443","0.18774720809388565","0.6304401225942475"
"blocking,delay,edges","65.67218674298073,-0.7794404987428383,0.40866010472477055,0.23752714832874605","3","0.4140969387145567","0.10370948156735407","0.6364673066830818"
"blocking,centrality,free","79.40105666311005,0.007335259652423289,-0.06578631499103516,0.11719497402581007","3","0.9659162774965753","0.4483826238799746","0.5471589200404167"
"blocking,centrality,edges","84.49289178888482,0.026213050123668646,-0.0663080649186634,-0.12621790235235217","3","0.8890153895061618","0.42247087488459817","0.5475022435403911"
"delay,centrality,reachability","69.62997776639685,0.3755778642831935,-0.0018074379376683027,-0.6818357187218926","3","0.9672106789911269","0.24729802133476597","0.6293539931202233"
"delay,centrality,free","71.87821942893137,0.10365684628863032,-0.09141795378450421,0.1543152109668624","3","0.6032842908067979","0.19532840934790524","0.5700833777454406"
"delay,centrality,edges","78.78852348288024,0.11040887720895763,-0.08688962180706543,-0.18430731247896126","3","0.4977841077904023","0.16380027985171017","0.5724486495820758"
"delay,reachability,free","72.23611739543972,0.3846545746917279,-0.7078337773216794,-0.09150905407337244","3","0.749894047159646","0.1877472080938861","0.6304401225942475"
"delay,reachability,edges","65.67218674298127,0.40866010472476166,-0.7794404987428251,0.23752714832873204","3","0.4140969387145841","0.10370948156736096","0.6364673066830819"
"delay,free,edges","89.96893152745928,-0.08322971879994671,0.11362426184323444,-0.5169574005089347","3","0.760536438156712","0.2620625920738923","0.42494421896504964"
"centrality,reachability,free","79.40105666310997,-0.06578631499103497,0.0073352596524229015,0.11719497402581243","3","0.965916277496577","0.44838262387997363","0.5471589200404168"
"centrality,reachability,edges","84.4928917888848,-0.06630806491866327,0.02621305012366797,-0.12621790235235106","3","0.8890153895061643","0.4224708748845992","0.5475022435403911"
"centrality,free,edges","81.75635341458855,-0.06074827237502399,0.07951457378326646,-0.07671849580003369","3","0.8098826022330312","0.4019419128566642","0.5480124747621145"
"credits,complexity,centrality,reachability","228.5883817327656,-1.27096883562135,0.1749904414305908,-0.05837131163706206,-0.3642517028577897","4","0.24009864263438735","0.07956495302009782","0.819937025473914"
