"combinations","n","r2"
"complexity,centrality,creditHours,free","4","0.9797676900049391"
"complexity,centrality,creditHours,timeComp1","4","0.9798829037925824"
"complexity,centrality,creditHours,timeComp2","4","0.9799414617268676"
"complexity,centrality,free,timeComp1","4","0.8877413052192816"
"complexity,centrality,free,timeComp2","4","0.9042338879085909"
"complexity,centrality,timeComp1,timeComp2","4","0.917552985875677"
"complexity,creditHours,free,timeComp1","4","0.9771959949947908"
"complexity,creditHours,free,timeComp2","4","0.9781071895628571"
"complexity,creditHours,timeComp1,timeComp2","4","0.9785843483254938"
"complexity,free,timeComp1,timeComp2","4","0.9140634514860931"
"blocking,delay,inverseDelay,centrality","4","0.5682201571331911"
"blocking,delay,inverseDelay,free","4","0.5677056114499501"
"blocking,delay,inverseDelay,timeComp1","4","0.873753729706249"
"blocking,delay,inverseDelay,timeComp2","4","0.9011613208112489"
"blocking,delay,centrality,creditHours","4","0.979918878554254"
"blocking,delay,centrality,free","4","0.5308509558562635"
"blocking,delay,centrality,timeComp1","4","0.875293179215074"
"blocking,delay,centrality,timeComp2","4","0.9006623956468959"
"blocking,delay,creditHours,free","4","0.9795245176576044"
"blocking,delay,creditHours,timeComp1","4","0.9796734843454501"
"blocking,delay,free,timeComp1","4","0.8867723860726584"
"blocking,delay,free,timeComp2","4","0.9060541712338595"
"blocking,delay,timeComp1,timeComp2","4","0.9209035893026226"
"blocking,inverseDelay,centrality,creditHours","4","0.9802422030201098"
"blocking,inverseDelay,centrality,free","4","0.5791056516252884"
"blocking,inverseDelay,centrality,timeComp1","4","0.8665140905438009"
"blocking,inverseDelay,centrality,timeComp2","4","0.8700771623004626"
"blocking,inverseDelay,creditHours,free","4","0.9785793151669343"
"blocking,inverseDelay,creditHours,timeComp1","4","0.978583723973601"
"blocking,inverseDelay,creditHours,timeComp2","4","0.9807559402857341"
"blocking,inverseDelay,free,timeComp1","4","0.8771100730664582"
"blocking,inverseDelay,free,timeComp2","4","0.8689742654478363"
"blocking,inverseDelay,timeComp1,timeComp2","4","0.8951407364121554"
"blocking,centrality,creditHours,free","4","0.97977032889512"
"blocking,centrality,creditHours,timeComp1","4","0.979796603853403"
"blocking,centrality,creditHours,timeComp2","4","0.9800229493077075"
"blocking,centrality,free,timeComp1","4","0.874188927312505"
"blocking,centrality,free,timeComp2","4","0.8693063352334167"
"blocking,centrality,timeComp1,timeComp2","4","0.8888657469756801"
"blocking,creditHours,free,timeComp1","4","0.9785477313057767"
"blocking,creditHours,free,timeComp2","4","0.9797113032670969"
"blocking,creditHours,timeComp1,timeComp2","4","0.9797412367898278"
"blocking,free,timeComp1,timeComp2","4","0.8836043702180716"
"delay,inverseBlocking,inverseDelay,centrality","4","0.5682201571331911"
"delay,inverseBlocking,inverseDelay,creditHours","4","0.9813153996949162"
"delay,inverseBlocking,inverseDelay,free","4","0.5677056114499499"
"delay,inverseBlocking,inverseDelay,timeComp1","4","0.873753729706249"
"delay,inverseBlocking,inverseDelay,timeComp2","4","0.901161320811249"
"delay,inverseBlocking,centrality,creditHours","4","0.9799188785542539"
"delay,inverseBlocking,centrality,free","4","0.5308509558562635"
"delay,inverseBlocking,centrality,timeComp1","4","0.875293179215074"
"delay,inverseBlocking,centrality,timeComp2","4","0.9006623956468959"
"delay,inverseBlocking,creditHours,free","4","0.9795245176576044"
"delay,inverseBlocking,creditHours,timeComp1","4","0.9796734843454501"
"delay,inverseBlocking,creditHours,timeComp2","4","0.9795917320941591"
"delay,inverseBlocking,free,timeComp1","4","0.8867723860726584"
"delay,inverseBlocking,free,timeComp2","4","0.9060541712338595"
"delay,inverseBlocking,timeComp1,timeComp2","4","0.9209035893026227"
"delay,inverseDelay,centrality,creditHours","4","0.9815224683212426"
"delay,inverseDelay,centrality,free","4","0.5790942064976244"
"delay,inverseDelay,centrality,timeComp1","4","0.8760732056231046"
"delay,inverseDelay,centrality,timeComp2","4","0.9012309401598546"
"delay,inverseDelay,creditHours,free","4","0.9776934214722968"
"delay,inverseDelay,creditHours,timeComp1","4","0.9786933057460753"
"delay,inverseDelay,creditHours,timeComp2","4","0.9777942371544385"
"delay,inverseDelay,free,timeComp1","4","0.8796075023812927"
"delay,inverseDelay,free,timeComp2","4","0.9061207384157258"
"delay,inverseDelay,timeComp1,timeComp2","4","0.9193222517023187"
"delay,centrality,creditHours,free","4","0.9797794833299803"
"delay,centrality,creditHours,timeComp1","4","0.9799476169380038"
"delay,centrality,creditHours,timeComp2","4","0.9798664569476877"
"delay,centrality,free,timeComp1","4","0.8907882261630128"
"delay,centrality,free,timeComp2","4","0.9058586312981711"
"delay,centrality,timeComp1,timeComp2","4","0.9207426282982911"
"delay,creditHours,free,timeComp1","4","0.9769337594092965"
"delay,creditHours,free,timeComp2","4","0.9752120632878817"
"delay,creditHours,timeComp1,timeComp2","4","0.9771926035268125"
"delay,free,timeComp1,timeComp2","4","0.9192900534167876"
"inverseBlocking,inverseDelay,centrality,creditHours","4","0.9802422030201098"
"inverseBlocking,inverseDelay,centrality,free","4","0.5791056516252884"
"inverseBlocking,inverseDelay,centrality,timeComp1","4","0.8665140905438009"
"inverseBlocking,inverseDelay,centrality,timeComp2","4","0.8700771623004626"
"inverseBlocking,inverseDelay,creditHours,free","4","0.9785793151669343"
"inverseBlocking,inverseDelay,creditHours,timeComp1","4","0.978583723973601"
"inverseBlocking,inverseDelay,creditHours,timeComp2","4","0.9807559402857341"
"inverseBlocking,inverseDelay,free,timeComp1","4","0.8771100730664582"
"inverseBlocking,inverseDelay,free,timeComp2","4","0.8689742654478363"
"inverseBlocking,inverseDelay,timeComp1,timeComp2","4","0.8951407364121554"
"inverseBlocking,centrality,creditHours,free","4","0.97977032889512"
"inverseBlocking,centrality,creditHours,timeComp1","4","0.979796603853403"
"inverseBlocking,centrality,creditHours,timeComp2","4","0.9800229493077075"
"inverseBlocking,centrality,free,timeComp1","4","0.874188927312505"
"inverseBlocking,centrality,free,timeComp2","4","0.8693063352334167"
"inverseBlocking,centrality,timeComp1,timeComp2","4","0.8888657469756801"
"inverseBlocking,creditHours,free,timeComp1","4","0.9785477313057767"
"inverseBlocking,creditHours,free,timeComp2","4","0.9797113032670969"
"inverseBlocking,creditHours,timeComp1,timeComp2","4","0.9797412367898278"
"inverseBlocking,free,timeComp1,timeComp2","4","0.8836043702180716"
"inverseDelay,centrality,creditHours,free","4","0.9800093982965499"
"inverseDelay,centrality,creditHours,timeComp1","4","0.9800803438579326"
"inverseDelay,centrality,creditHours,timeComp2","4","0.9815189019400818"
"inverseDelay,centrality,free,timeComp1","4","0.8714627402601918"
"inverseDelay,centrality,free,timeComp2","4","0.8537763515508777"
"inverseDelay,centrality,timeComp1,timeComp2","4","0.8809094794773356"
"inverseDelay,creditHours,free,timeComp1","4","0.9774507935848302"
"inverseDelay,creditHours,free,timeComp2","4","0.9777813857846746"
"inverseDelay,creditHours,timeComp1,timeComp2","4","0.9790130619157764"
"inverseDelay,free,timeComp1,timeComp2","4","0.8682334362515381"
"centrality,creditHours,free,timeComp1","4","0.9797981691916728"
"centrality,creditHours,free,timeComp2","4","0.9798218262022929"
"centrality,creditHours,timeComp1,timeComp2","4","0.9801034797114133"
"centrality,free,timeComp1,timeComp2","4","0.8542664799022082"
"creditHours,free,timeComp1,timeComp2","4","0.9771661138291228"
"complexity,blocking,delay,inverseDelay,centrality","5","0.5682201571331911"
"complexity,blocking,delay,inverseDelay,creditHours","5","0.9813153996949162"
"complexity,blocking,delay,inverseDelay,free","5","0.56770561144995"
"complexity,blocking,delay,inverseDelay,timeComp1","5","0.8737537297062488"
"complexity,blocking,delay,inverseDelay,timeComp2","5","0.901161320811249"
"complexity,blocking,delay,centrality,creditHours","5","0.9799188785542539"
"complexity,blocking,delay,centrality,free","5","0.5308509558562635"
"complexity,blocking,delay,centrality,timeComp1","5","0.875293179215074"
"complexity,blocking,delay,centrality,timeComp2","5","0.9006623956468959"
"complexity,blocking,delay,creditHours,free","5","0.9795245176576044"
"complexity,blocking,delay,creditHours,timeComp1","5","0.9796734843454501"
"complexity,blocking,delay,creditHours,timeComp2","5","0.9795917320941591"
"complexity,blocking,delay,free,timeComp1","5","0.8867723860726584"
"complexity,blocking,delay,free,timeComp2","5","0.9060541712338595"
"complexity,blocking,delay,timeComp1,timeComp2","5","0.9209035893026227"
"complexity,blocking,inverseDelay,centrality,creditHours","5","0.9816613329022003"
"complexity,blocking,inverseDelay,centrality,free","5","0.5837859786043221"
"complexity,blocking,inverseDelay,centrality,timeComp1","5","0.8764385104205594"
"complexity,blocking,inverseDelay,centrality,timeComp2","5","0.9012438292699428"
"complexity,blocking,inverseDelay,creditHours,free","5","0.9814042515032382"
"complexity,blocking,inverseDelay,creditHours,timeComp1","5","0.9813547278301596"
"complexity,blocking,inverseDelay,creditHours,timeComp2","5","0.9817273985899152"
"complexity,blocking,inverseDelay,free,timeComp1","5","0.8877241086032621"
"complexity,blocking,inverseDelay,free,timeComp2","5","0.9063578107260892"
"complexity,blocking,inverseDelay,timeComp1,timeComp2","5","0.9210053622400587"
"complexity,blocking,centrality,creditHours,free","5","0.9799374006803547"
"complexity,blocking,centrality,creditHours,timeComp1","5","0.9800530871465875"
"complexity,blocking,centrality,creditHours,timeComp2","5","0.9800248821220098"
"complexity,blocking,centrality,free,timeComp2","5","0.9067250370203279"
"complexity,blocking,centrality,timeComp1,timeComp2","5","0.92094062065051"
"complexity,blocking,creditHours,free,timeComp1","5","0.9798287729450355"
